Deg Num
4 17
5 2813
6 1750
7 1252
8 830
9 614
10 461
11 370
12 234
13 225
14 208
15 153
16 125
17 100
18 91
19 78
20 50
21 56
22 50
23 41
24 37
25 37
26 28
27 24
28 29
29 25
30 19
31 19
32 14
33 13
34 15
35 14
36 15
37 9
38 8
39 6
40 8
41 6
42 6
43 7
44 5
45 3
46 4
47 3
48 4
49 4
50 3
51 3
52 3
53 4
54 2
55 3
56 6
57 2
58 3
59 3
60 4
61 2
62 4
63 2
64 2
65 3
67 2
68 3
69 2
70 2
71 1
72 2
74 2
75 1
76 3
77 2
79 3
80 2
81 2
82 2
84 1
87 2
90 2
92 2
93 1
94 1
96 1
99 1
100 2
101 1
102 1
103 1
105 1
109 1
111 2
114 1
118 1
122 1
124 1
130 1
134 1
140 1
142 1
143 1
150 1
156 1
161 1
166 1
172 1
179 1
186 1
219 1
244 1
279 1
287 1
728 1
967 1
